,max_LOW_continuum [blcoal] [spbf],max_LOW_spectral [blcoal] [spbf],max_MID_continuum [blcoal] [spbf],max_MID_spectral [blcoal] [spbf],max_Band5_MID_continuum [blcoal] [spbf],max_Band5_MID_spectral [blcoal] [spbf],01ICAL [blcoal] [spbf],01DPrepA [blcoal] [spbf],01DPrepB [blcoal] [spbf],01DPrepC [blcoal] [spbf],02AICAL [blcoal] [spbf],02ADPrepA [blcoal] [spbf],02ADPrepB [blcoal] [spbf],02ADPrepC [blcoal] [spbf],02BICAL [blcoal] [spbf],02BDPrepA [blcoal] [spbf],02BDPrepB [blcoal] [spbf],02BDPrepC [blcoal] [spbf],13ICAL [Bmax=40000] [blcoal] [spbf],13DPrepA [Bmax=40000] [blcoal] [spbf],13DPrepB [Bmax=40000] [blcoal] [spbf],13DPrepC [Bmax=40000] [blcoal] [spbf],14ICAL [Bmax=25000] [blcoal] [spbf],14DPrepA [Bmax=25000] [blcoal] [spbf],14DPrepB [Bmax=25000] [blcoal] [spbf],14DPrepC [Bmax=25000] [blcoal] [spbf],15ICAL [Bmax=15000] [blcoal] [spbf],15DPrepA [Bmax=15000] [blcoal] [spbf],15DPrepB [Bmax=15000] [blcoal] [spbf],15DPrepC [Bmax=15000] [blcoal] [spbf],22ICAL [blcoal] [spbf],22DPrepA [blcoal] [spbf],22DPrepB [blcoal] [spbf],27ICAL [Bmax=50000] [blcoal] [spbf],27DPrepA [Bmax=50000] [blcoal] [spbf],27DPrepB [Bmax=50000] [blcoal] [spbf],32ICAL [Bmax=20000] [blcoal] [spbf],32DPrepB [Bmax=20000] [blcoal] [spbf],37aICAL [blcoal] [spbf],37aDPrepA [blcoal] [spbf],37aDPrepB [blcoal] [spbf],37bICAL [blcoal] [spbf],37bDPrepA [blcoal] [spbf],37bDPrepB [blcoal] [spbf],37cICAL [Bmax=95000] [blcoal] [spbf],37cDPrepA [Bmax=95000] [blcoal] [spbf],37cDPrepB [Bmax=95000] [blcoal] [spbf],38aICAL [blcoal] [spbf],38aDPrepA [blcoal] [spbf],38aDPrepB [blcoal] [spbf],38bICAL [blcoal] [spbf],38bDPrepA [blcoal] [spbf],38bDPrepB [blcoal] [spbf]
Pixel size [arcs],2.838451875895895,2.838451875895895,0.20534133042224062,0.20534133042224062,0.010560563979823412,0.010560563979823412,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,0.4902610584859961,0.4902610584859961,0.4902610584859961,0.4902610584859961,0.49777529571857515,0.49777529571857515,0.49777529571857515,0.5303921906084638,0.796073735268794,0.796073735268794,0.796073735268794,0.8678879523211408,0.01034895855849432,0.01034895855849432,0.01034895855849432,0.27937852856788115,0.27937852856788115,0.27937852856788115,1.5400599781668047,1.5400599781668047,0.08600990115055276,0.08600990115055276,0.08600990115055276,0.08600990115055276,0.08600990115055276,0.08600990115055276,0.13580510707982016,0.13580510707982016,0.13580510707982016,0.012910823817899467,0.012910823817899467,0.012910823817899467,0.012910823817899467,0.012910823817899467,0.012910823817899467
Facet side length [pixels],11958.659389011576,19931.098981685962,47539.59064631437,118848.97661578593,113807.93784534889,113807.93784534889,12905.949417816295,11949.953164644718,11949.953164644718,3983.3177215482388,10754.957848180245,11949.953164644718,11949.953164644718,3983.3177215482388,10754.957848180245,11949.953164644718,11949.953164644718,3983.3177215482388,15637.74542959963,11583.515133036763,28958.787832591905,6950.1090798220575,10159.390534032655,7525.474469653817,18813.686174134542,16208.714242331302,7802.411930137077,6502.009941780898,10836.683236301496,9094.389641772457,70221.7073712337,108366.83236301498,108366.83236301498,36867.145045987396,36867.145045987396,36867.145045987396,15846.530215438122,15846.530215438122,63581.87827666434,47097.68761234395,117744.2190308599,54498.75280856944,47097.68761234395,117744.2190308599,40268.52290855408,29828.535487817837,74571.3387195446,61130.256091710966,113204.17794761292,113204.17794761292,73356.30731005316,113204.17794761292,113204.17794761292
Image side length [pixels],19931.09898168596,19931.09898168596,118848.97661578593,118848.97661578593,113807.93784534889,113807.93784534889,53774.789240901235,19916.588607741196,19916.588607741196,19916.588607741196,35849.85949393415,19916.588607741196,19916.588607741196,19916.588607741196,35849.85949393415,19916.588607741196,19916.588607741196,19916.588607741196,78188.72714799814,28958.78783259191,28958.78783259191,28958.78783259191,33864.63511344218,18813.686174134542,18813.686174134542,16208.714242331302,19506.02982534269,10836.683236301496,10836.683236301496,9094.389641772457,292590.4473801404,108366.83236301497,108366.83236301497,36867.1450459874,36867.1450459874,36867.1450459874,15846.530215438122,15846.530215438122,211939.5942555478,117744.2190308599,117744.2190308599,317909.3913833217,117744.2190308599,117744.2190308599,134228.40969518028,74571.3387195446,74571.3387195446,203767.52030570322,113204.17794761292,113204.17794761292,305651.28045855486,113204.17794761292,113204.17794761292
Grid side dimension [lambda],72668.06529245574,72668.06529245574,1004497.2720443411,1004497.2720443411,19531608.97857137,19531608.97857137,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,420724.43380282907,420724.43380282907,420724.43380282907,420724.43380282907,414373.32873126614,414373.32873126614,414373.32873126614,388891.1071832905,259102.63975415684,259102.63975415684,259102.63975415684,237662.94450274046,19930972.2887813,19930972.2887813,19930972.2887813,738298.7064339835,738298.7064339835,738298.7064339835,133932.96960591213,133932.96960591213,2398151.881212466,2398151.881212466,2398151.881212466,2398151.881212466,2398151.881212466,2398151.881212466,1518829.524767895,1518829.524767895,1518829.524767895,15976115.014530089,15976115.014530089,15976115.014530089,15976115.014530089,15976115.014530089,15976115.014530089
Baselines dimension [lambda],43600.83917547344,43600.83917547344,602698.3632266046,602698.3632266046,11718965.38714282,11718965.38714282,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,252434.6602816974,252434.6602816974,252434.6602816974,252434.6602816974,248623.9972387597,248623.9972387597,248623.9972387597,233334.66430997435,155461.5838524941,155461.5838524941,155461.5838524941,142597.7667016443,11958583.37326878,11958583.37326878,11958583.37326878,442979.2238603901,442979.2238603901,442979.2238603901,80359.78176354729,80359.78176354729,1438891.1287274796,1438891.1287274796,1438891.1287274796,1438891.1287274796,1438891.1287274796,1438891.1287274796,911297.7148607371,911297.7148607371,911297.7148607371,9585669.008718053,9585669.008718053,9585669.008718053,9585669.008718053,9585669.008718053,9585669.008718053
Epsilon (approx),0.6666666666666672,0.342997170285018,0.4441757193189375,0.24373333911071637,0.4441757193189375,0.24373333911071637,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375
Qbw,2.2049999999999983,4.285749642711291,3.309501028678418,6.031181476294671,3.309501028678418,6.031181476294671,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418
Max subband ratio,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35
Number subbands,7.0,7.0,4.0,4.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Station/antenna diameter,35,35,13.5,13.5,13.5,13.5,35,35,35,35,35,35,35,35,35,35,35,35,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ionospheric timescale [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Coalesce time pred0 [s],10.0,10.0,10.0,3.22,5.880000000000001,3.22,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.980031326835396,10.0,10.0,10.0,5.809526670329971,3.4345001413553704,8.361866233086769,9.882205548193452,6.08135726042674,3.642688648104104,9.38,6.0200000000000005,6.0200000000000005,6.0948547159676885,6.0948547159676885,6.0948547159676885,5.444051941858186,5.444051941858186,10.0,10.0,5.880000000000001,10.0,10.0,5.880000000000001,10.0,10.0,5.880000000000001,10.0,6.0200000000000005,6.0200000000000005,9.24,6.0200000000000005,6.0200000000000005
Coalesce time pred1 [s],10.0,7.2,9.66,2.1,3.9200000000000004,2.1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.4038483094152525,10.0,3.9866875512235977,9.375523758358776,7.150186671175349,9.831506672866105,3.5750933355876744,2.3777308670921795,5.3211876028733975,6.841526917980083,3.800848287766713,2.276680405065065,6.300000000000001,4.0600000000000005,4.0600000000000005,4.063236477311793,4.063236477311793,4.063236477311793,3.8108363593007297,3.8108363593007297,7.280000000000001,9.8,3.9200000000000004,8.4,9.8,3.9200000000000004,7.280000000000001,9.8,3.9200000000000004,7.420000000000001,3.9200000000000004,3.9200000000000004,6.16,3.9200000000000004,3.9200000000000004
Coalesce time pred2 [s],10.0,3.6,7.280000000000001,1.54,2.9400000000000004,1.54,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.695267930319425,7.6886117059312244,2.8476339651597127,7.031642818769082,5.362640003381512,7.150186671175349,2.681320001690756,1.5851539113947863,3.800848287766713,4.561017945320055,3.04067863021337,1.821344324052052,4.62,2.9400000000000004,2.9400000000000004,2.9345596780585166,2.9345596780585166,2.9345596780585166,2.722025970929093,2.722025970929093,5.460000000000001,7.280000000000001,2.9400000000000004,6.300000000000001,7.280000000000001,2.9400000000000004,5.460000000000001,7.280000000000001,2.9400000000000004,5.460000000000001,2.9400000000000004,2.9400000000000004,4.62,2.9400000000000004,2.9400000000000004
Coalesce time pred3 [s],5.4,1.8,4.760000000000001,0.9800000000000001,1.9600000000000002,0.9800000000000001,5.4,5.4,5.4,9.0,6.3,5.4,5.4,9.0,6.3,5.4,5.4,9.0,3.7019241547076263,5.125741137287482,1.9933437756117989,4.687761879179388,3.5750933355876744,4.915753336433053,1.7875466677938372,1.056769274263191,2.2805089726600274,3.04067863021337,1.520339315106685,0.910672162026026,3.08,1.9600000000000002,1.9600000000000002,2.0316182386558963,2.0316182386558963,2.0316182386558963,1.6332155825574557,1.6332155825574557,3.6400000000000006,4.9,1.9600000000000002,4.2,4.9,1.9600000000000002,3.6400000000000006,4.9,1.9600000000000002,3.6400000000000006,1.9600000000000002,1.9600000000000002,3.08,1.9600000000000002,1.9600000000000002
Coalesce time pred4 [s],2.7,0.9,2.8000000000000003,0.56,1.12,0.56,2.7,2.7,2.7,4.5,2.7,2.7,2.7,4.5,2.7,2.7,2.7,4.5,2.27810717212777,2.8476339651597127,1.139053586063885,2.8126571275076326,2.2344333347422967,2.681320001690756,0.8937733338969186,0.5283846371315954,,,,,1.8200000000000003,1.12,1.12,1.1286767992532756,1.1286767992532756,1.1286767992532756,1.0888103883716371,1.0888103883716371,2.1,2.9400000000000004,1.12,2.5200000000000005,2.9400000000000004,1.12,2.1,2.9400000000000004,1.12,2.1,1.12,1.12,1.8200000000000003,1.12,1.12
Coalesce time pred5 [s],,,1.9600000000000002,0.42000000000000004,0.8400000000000001,0.42000000000000004,,,,,,,,,,,,,1.4238169825798563,1.9933437756117989,0.8542901895479138,1.875104751671755,,,,,,,,,1.2600000000000002,0.8400000000000001,0.8400000000000001,0.6772060795519654,0.6772060795519654,0.6772060795519654,,,1.54,2.1,0.8400000000000001,1.8200000000000003,2.1,0.8400000000000001,1.54,2.1,0.8400000000000001,1.54,0.8400000000000001,0.8400000000000001,1.2600000000000002,0.8400000000000001,0.8400000000000001
Coalesce time pred6 [s],,,1.2600000000000002,0.28,0.42000000000000004,0.28,,,,,,,,,,,,,1.4238169825798563,1.7085803790958276,0.5695267930319425,1.7188460223657755,,,,,,,,,0.8400000000000001,0.42000000000000004,0.42000000000000004,0.45147071970131025,0.45147071970131025,0.45147071970131025,,,0.9800000000000001,1.2600000000000002,0.42000000000000004,1.12,1.2600000000000002,0.42000000000000004,0.9800000000000001,1.2600000000000002,0.42000000000000004,0.9800000000000001,0.42000000000000004,0.42000000000000004,0.8400000000000001,0.42000000000000004,0.42000000000000004
Coalesce time pred7 [s],,,0.8400000000000001,0.14,0.28,0.14,,,,,,,,,,,,,,,,,,,,,,,,,0.56,0.28,0.28,,,,,,0.7000000000000001,0.9800000000000001,0.28,0.8400000000000001,0.9800000000000001,0.28,0.7000000000000001,0.9800000000000001,0.28,0.7000000000000001,0.28,0.28,0.56,0.28,0.28
Coalesce time pred8 [s],,,0.7000000000000001,0.14,0.28,0.14,,,,,,,,,,,,,,,,,,,,,,,,,0.42000000000000004,0.28,0.28,,,,,,0.56,0.7000000000000001,0.28,0.7000000000000001,0.7000000000000001,0.28,0.56,0.7000000000000001,0.28,0.56,0.28,0.28,0.42000000000000004,0.28,0.28
Coalesce time pred9 [s],,,0.56,0.14,0.14,0.14,,,,,,,,,,,,,,,,,,,,,,,,,0.42000000000000004,0.14,0.14,,,,,,0.42000000000000004,0.56,0.14,0.56,0.56,0.14,0.56,0.7000000000000001,0.28,0.42000000000000004,0.14,0.14,0.42000000000000004,0.14,0.14
Coalesce time pred10 [s],,,0.56,0.14,0.14,0.14,,,,,,,,,,,,,,,,,,,,,,,,,0.28,0.14,0.14,,,,,,0.42000000000000004,0.56,0.14,0.42000000000000004,0.56,0.14,,,,0.42000000000000004,0.14,0.14,0.28,0.14,0.14
Coalesce time pred11 [s],,,0.42000000000000004,0.14,0.14,0.14,,,,,,,,,,,,,,,,,,,,,,,,,0.28,0.14,0.14,,,,,,0.28,0.42000000000000004,0.14,0.42000000000000004,0.42000000000000004,0.14,,,,0.28,0.14,0.14,0.28,0.14,0.14
Coalesce time bw0 [s],10.0,10.0,10.0,3.22,5.880000000000001,3.22,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.980031326835396,10.0,10.0,10.0,5.809526670329971,3.4345001413553704,8.361866233086769,9.882205548193452,6.08135726042674,3.642688648104104,9.38,6.0200000000000005,6.0200000000000005,6.0948547159676885,6.0948547159676885,6.0948547159676885,5.444051941858186,5.444051941858186,10.0,10.0,5.880000000000001,10.0,10.0,5.880000000000001,10.0,10.0,5.880000000000001,10.0,6.0200000000000005,6.0200000000000005,9.24,6.0200000000000005,6.0200000000000005
Coalesce time bw1 [s],10.0,7.2,9.66,2.1,3.9200000000000004,2.1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.4038483094152525,10.0,3.9866875512235977,9.375523758358776,7.150186671175349,9.831506672866105,3.5750933355876744,2.3777308670921795,5.3211876028733975,6.841526917980083,3.800848287766713,2.276680405065065,6.300000000000001,4.0600000000000005,4.0600000000000005,4.063236477311793,4.063236477311793,4.063236477311793,3.8108363593007297,3.8108363593007297,7.280000000000001,9.8,3.9200000000000004,8.4,9.8,3.9200000000000004,7.280000000000001,9.8,3.9200000000000004,7.420000000000001,3.9200000000000004,3.9200000000000004,6.16,3.9200000000000004,3.9200000000000004
Coalesce time bw2 [s],10.0,3.6,7.280000000000001,1.54,2.9400000000000004,1.54,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.695267930319425,7.6886117059312244,2.8476339651597127,7.031642818769082,5.362640003381512,7.150186671175349,2.681320001690756,1.5851539113947863,3.800848287766713,4.561017945320055,3.04067863021337,1.821344324052052,4.62,2.9400000000000004,2.9400000000000004,2.9345596780585166,2.9345596780585166,2.9345596780585166,2.722025970929093,2.722025970929093,5.460000000000001,7.280000000000001,2.9400000000000004,6.300000000000001,7.280000000000001,2.9400000000000004,5.460000000000001,7.280000000000001,2.9400000000000004,5.460000000000001,2.9400000000000004,2.9400000000000004,4.62,2.9400000000000004,2.9400000000000004
Coalesce time bw3 [s],5.4,1.8,4.760000000000001,0.9800000000000001,1.9600000000000002,0.9800000000000001,5.4,5.4,5.4,9.0,6.3,5.4,5.4,9.0,6.3,5.4,5.4,9.0,3.7019241547076263,5.125741137287482,1.9933437756117989,4.687761879179388,3.5750933355876744,4.915753336433053,1.7875466677938372,1.056769274263191,2.2805089726600274,3.04067863021337,1.520339315106685,0.910672162026026,3.08,1.9600000000000002,1.9600000000000002,2.0316182386558963,2.0316182386558963,2.0316182386558963,1.6332155825574557,1.6332155825574557,3.6400000000000006,4.9,1.9600000000000002,4.2,4.9,1.9600000000000002,3.6400000000000006,4.9,1.9600000000000002,3.6400000000000006,1.9600000000000002,1.9600000000000002,3.08,1.9600000000000002,1.9600000000000002
Coalesce time bw4 [s],2.7,0.9,2.8000000000000003,0.56,1.12,0.56,2.7,2.7,2.7,4.5,2.7,2.7,2.7,4.5,2.7,2.7,2.7,4.5,2.27810717212777,2.8476339651597127,1.139053586063885,2.8126571275076326,2.2344333347422967,2.681320001690756,0.8937733338969186,0.5283846371315954,,,,,1.8200000000000003,1.12,1.12,1.1286767992532756,1.1286767992532756,1.1286767992532756,1.0888103883716371,1.0888103883716371,2.1,2.9400000000000004,1.12,2.5200000000000005,2.9400000000000004,1.12,2.1,2.9400000000000004,1.12,2.1,1.12,1.12,1.8200000000000003,1.12,1.12
Coalesce time bw5 [s],,,1.9600000000000002,0.42000000000000004,0.8400000000000001,0.42000000000000004,,,,,,,,,,,,,1.4238169825798563,1.9933437756117989,0.8542901895479138,1.875104751671755,,,,,,,,,1.2600000000000002,0.8400000000000001,0.8400000000000001,0.6772060795519654,0.6772060795519654,0.6772060795519654,,,1.54,2.1,0.8400000000000001,1.8200000000000003,2.1,0.8400000000000001,1.54,2.1,0.8400000000000001,1.54,0.8400000000000001,0.8400000000000001,1.2600000000000002,0.8400000000000001,0.8400000000000001
Coalesce time bw6 [s],,,1.2600000000000002,0.28,0.42000000000000004,0.28,,,,,,,,,,,,,1.4238169825798563,1.7085803790958276,0.5695267930319425,1.7188460223657755,,,,,,,,,0.8400000000000001,0.42000000000000004,0.42000000000000004,0.45147071970131025,0.45147071970131025,0.45147071970131025,,,0.9800000000000001,1.2600000000000002,0.42000000000000004,1.12,1.2600000000000002,0.42000000000000004,0.9800000000000001,1.2600000000000002,0.42000000000000004,0.9800000000000001,0.42000000000000004,0.42000000000000004,0.8400000000000001,0.42000000000000004,0.42000000000000004
Coalesce time bw7 [s],,,0.8400000000000001,0.14,0.28,0.14,,,,,,,,,,,,,,,,,,,,,,,,,0.56,0.28,0.28,,,,,,0.7000000000000001,0.9800000000000001,0.28,0.8400000000000001,0.9800000000000001,0.28,0.7000000000000001,0.9800000000000001,0.28,0.7000000000000001,0.28,0.28,0.56,0.28,0.28
Coalesce time bw8 [s],,,0.7000000000000001,0.14,0.28,0.14,,,,,,,,,,,,,,,,,,,,,,,,,0.42000000000000004,0.28,0.28,,,,,,0.56,0.7000000000000001,0.28,0.7000000000000001,0.7000000000000001,0.28,0.56,0.7000000000000001,0.28,0.56,0.28,0.28,0.42000000000000004,0.28,0.28
Coalesce time bw9 [s],,,0.56,0.14,0.14,0.14,,,,,,,,,,,,,,,,,,,,,,,,,0.42000000000000004,0.14,0.14,,,,,,0.42000000000000004,0.56,0.14,0.56,0.56,0.14,0.56,0.7000000000000001,0.28,0.42000000000000004,0.14,0.14,0.42000000000000004,0.14,0.14
Coalesce time bw10 [s],,,0.56,0.14,0.14,0.14,,,,,,,,,,,,,,,,,,,,,,,,,0.28,0.14,0.14,,,,,,0.42000000000000004,0.56,0.14,0.42000000000000004,0.56,0.14,,,,0.42000000000000004,0.14,0.14,0.28,0.14,0.14
Coalesce time bw11 [s],,,0.42000000000000004,0.14,0.14,0.14,,,,,,,,,,,,,,,,,,,,,,,,,0.28,0.14,0.14,,,,,,0.28,0.42000000000000004,0.14,0.42000000000000004,0.42000000000000004,0.14,,,,0.28,0.14,0.14,0.28,0.14,0.14
Combined samples full0,31.0,16.0,41.0,23.0,42.0,23.0,11.0,31.0,31.0,16.0,17.0,31.0,31.0,16.0,17.0,31.0,31.0,16.0,8.0,21.0,21.0,21.0,7.0,13.0,13.0,13.0,4.0,8.0,8.0,8.0,16.0,43.0,43.0,27.0,27.0,27.0,10.0,10.0,23.0,42.0,42.0,15.0,42.0,42.0,23.0,42.0,42.0,23.0,43.0,43.0,15.0,43.0,43.0
Combined samples full1,15.0,8.0,27.0,15.0,28.0,15.0,5.0,15.0,15.0,8.0,8.0,15.0,15.0,8.0,8.0,15.0,15.0,8.0,5.0,14.0,14.0,14.0,4.0,9.0,9.0,9.0,3.0,5.0,5.0,5.0,10.0,29.0,29.0,18.0,18.0,18.0,7.0,7.0,15.0,28.0,28.0,10.0,28.0,28.0,15.0,28.0,28.0,15.0,28.0,28.0,10.0,28.0,28.0
Combined samples full2,7.0,4.0,20.0,11.0,21.0,11.0,2.0,7.0,7.0,4.0,4.0,7.0,7.0,4.0,4.0,7.0,7.0,4.0,4.0,10.0,10.0,10.0,3.0,6.0,6.0,6.0,2.0,4.0,4.0,4.0,8.0,21.0,21.0,13.0,13.0,13.0,5.0,5.0,11.0,21.0,21.0,7.0,21.0,21.0,11.0,21.0,21.0,11.0,21.0,21.0,7.0,21.0,21.0
Combined samples full3,3.0,2.0,13.0,7.0,14.0,7.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,7.0,7.0,7.0,2.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,5.0,14.0,14.0,9.0,9.0,9.0,3.0,3.0,7.0,14.0,14.0,5.0,14.0,14.0,7.0,14.0,14.0,7.0,14.0,14.0,5.0,14.0,14.0
Combined samples full4,1.0,1.0,8.0,4.0,8.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,,,,,3.0,8.0,8.0,5.0,5.0,5.0,2.0,2.0,4.0,8.0,8.0,3.0,8.0,8.0,4.0,8.0,8.0,4.0,8.0,8.0,3.0,8.0,8.0
Combined samples full5,,,5.0,3.0,6.0,3.0,,,,,,,,,,,,,1.0,3.0,3.0,3.0,,,,,,,,,2.0,6.0,6.0,3.0,3.0,3.0,,,3.0,6.0,6.0,2.0,6.0,6.0,3.0,6.0,6.0,3.0,6.0,6.0,2.0,6.0,6.0
Combined samples full6,,,3.0,2.0,3.0,2.0,,,,,,,,,,,,,1.0,2.0,2.0,2.0,,,,,,,,,1.0,3.0,3.0,2.0,2.0,2.0,,,2.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0
Combined samples full7,,,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,,,,,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0
Combined samples full8,,,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,,,,,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0
Combined samples full9,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
Combined samples full10,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0
Combined samples full11,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0
Combined samples facet0,52.0,16.0,104.0,23.0,42.0,23.0,48.0,52.0,52.0,80.0,57.0,52.0,52.0,80.0,57.0,52.0,52.0,80.0,40.0,54.0,21.0,90.0,25.0,33.0,13.0,13.0,11.0,13.0,8.0,8.0,67.0,43.0,43.0,27.0,27.0,27.0,10.0,10.0,78.0,105.0,42.0,91.0,105.0,42.0,78.0,105.0,42.0,79.0,43.0,43.0,66.0,43.0,43.0
Combined samples facet1,26.0,8.0,69.0,15.0,28.0,15.0,24.0,26.0,26.0,40.0,28.0,26.0,26.0,40.0,28.0,26.0,26.0,40.0,26.0,36.0,14.0,60.0,16.0,22.0,8.0,9.0,7.0,9.0,5.0,5.0,45.0,29.0,29.0,18.0,18.0,18.0,7.0,7.0,52.0,70.0,28.0,60.0,70.0,28.0,52.0,70.0,28.0,53.0,28.0,28.0,44.0,28.0,28.0
