,01c [otf],01s [otf],02A [otf],02B [otf],13c [otf],13s [Bmax=40000] [otf],14c [otf],14s [otf],15c [otf],15s [Bmax=13000] [otf],22 [otf],27 [otf],33 [otf],37a [otf],37b [otf],37c [otf],38a [otf],38b [otf],max_Band5_MID_continuum [otf],max_Band5_MID_spectral [otf],max_LOW_continuum [otf],max_LOW_spectral [otf],max_MID_continuum [otf],max_MID_spectral [otf]
Facets,2.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,5.0,1.0
Stations/antennas,512,512,512,512,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,512,512,197,197
Max Baseline [per bin]0 [m],4900,4900,4900,4900,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,4900,4900,5000.0,5000.0
Max Baseline [per bin]1 [m],7100,7100,7100,7100,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7100,7100,7500.0,7500.0
Max Baseline [per bin]2 [m],10400,10400,10400,10400,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10400,10400,10000.0,10000.0
Max Baseline [per bin]3 [m],15100,15100,15100,15100,15000.0,15000.0,15000.0,15000.0,15000.0,13000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15100,15100,15000.0,15000.0
Max Baseline [per bin]4 [m],22100,22100,22100,22100,25000.0,25000.0,25000.0,25000.0,25000.0,,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,22100,22100,25000.0,25000.0
Max Baseline [per bin]5 [m],32200,32200,32200,32200,35000.0,35000.0,35000.0,35000.0,35000.0,,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,32200,32200,35000.0,35000.0
Max Baseline [per bin]6 [m],47000,47000,47000,47000,55000.0,40000.0,55000.0,55000.0,55000.0,,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,47000,47000,55000.0,55000.0
Max Baseline [per bin]7 [m],80000,80000,80000,80000,75000.0,,75000.0,75000.0,75000.0,,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,80000,80000,75000.0,75000.0
Max Baseline [per bin]8 [m],,,,,90000.0,,90000.0,90000.0,90000.0,,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,,,90000.0,90000.0
Max Baseline [per bin]9 [m],,,,,110000.0,,110000.0,110000.0,110000.0,,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,,,110000.0,110000.0
Max Baseline [per bin]10 [m],,,,,130000.0,,130000.0,130000.0,130000.0,,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,,,130000.0,130000.0
Max Baseline [per bin]11 [m],,,,,150000.0,,150000.0,150000.0,150000.0,,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,,,150000.0,150000.0
Baseline fraction [per bin]0,0.524239919747576,0.524239919747576,0.524239919747576,0.524239919747576,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.524239919747576,0.524239919747576,0.6148904201149844,0.6148904201149844
Baseline fraction [per bin]1,0.079116159492088389,0.079116159492088389,0.079116159492088389,0.079116159492088389,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.079116159492088389,0.079116159492088389,0.050619138909465761,0.050619138909465761
Baseline fraction [per bin]2,0.059153457094084663,0.059153457094084663,0.059153457094084663,0.059153457094084663,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.059153457094084663,0.059153457094084663,0.028392311305309354,0.028392311305309354
Baseline fraction [per bin]3,0.091502783190849729,0.091502783190849729,0.091502783190849729,0.091502783190849729,0.050878192809514208,0.050878192809514208,0.050878192809514208,0.050878192809514208,0.050878192809514208,0.030526915685708523,0.050878192809514208,0.050878192809514208,0.050878192809514208,0.050878192809514208,0.050878192809514208,0.050878192809514208,0.050878192809514208,0.050878192809514208,0.050878192809514208,0.050878192809514208,0.091502783190849729,0.091502783190849729,0.050878192809514208,0.050878192809514208
Baseline fraction [per bin]4,0.073959481192604051,0.073959481192604051,0.073959481192604051,0.073959481192604051,0.071395264513350903,0.071395264513350903,0.071395264513350903,0.071395264513350903,0.071395264513350903,,0.071395264513350903,0.071395264513350903,0.071395264513350903,0.071395264513350903,0.071395264513350903,0.071395264513350903,0.071395264513350903,0.071395264513350903,0.071395264513350903,0.071395264513350903,0.073959481192604051,0.073959481192604051,0.071395264513350903,0.071395264513350903
Baseline fraction [per bin]5,0.10568718038943128,0.10568718038943128,0.10568718038943128,0.10568718038943128,0.03756282060702424,0.03756282060702424,0.03756282060702424,0.03756282060702424,0.03756282060702424,,0.03756282060702424,0.03756282060702424,0.03756282060702424,0.03756282060702424,0.03756282060702424,0.03756282060702424,0.03756282060702424,0.03756282060702424,0.03756282060702424,0.03756282060702424,0.10568718038943128,0.10568718038943128,0.03756282060702424,0.03756282060702424
Baseline fraction [per bin]6,0.060915910793908408,0.060915910793908408,0.060915910793908408,0.060915910793908408,0.057354541210725286,0.014338635302681322,0.057354541210725286,0.057354541210725286,0.057354541210725286,,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.060915910793908408,0.060915910793908408,0.057354541210725286,0.057354541210725286
Baseline fraction [per bin]7,0.0054251080994574897,0.0054251080994574897,0.0054251080994574897,0.0054251080994574897,0.054815812710250551,,0.054815812710250551,0.054815812710250551,0.054815812710250551,,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.0054251080994574897,0.0054251080994574897,0.054815812710250551,0.054815812710250551
Baseline fraction [per bin]8,,,,,0.017356613603245682,,0.017356613603245682,0.017356613603245682,0.017356613603245682,,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682,,,0.017356613603245682,0.017356613603245682
Baseline fraction [per bin]9,,,,,0.015180560602838761,,0.015180560602838761,0.015180560602838761,0.015180560602838761,,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761,,,0.015180560602838761,0.015180560602838761
Baseline fraction [per bin]10,,,,,0.0010880265302034607,,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,,,0.0010880265302034607,0.0010880265302034607
Baseline fraction [per bin]11,,,,,0.00046629708308719751,,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,,,0.00046629708308719751,0.00046629708308719751
-- Image --,,,,,,,,,,,,,,,,,,,,,,,,
Facet FoV size [deg],18.556409827148087,17.181860951063044,30.927349711913482,30.927349711913482,2.8394731950555787,3.943712770910526,1.8729976397772585,2.3880487372046404,1.7253597803694514,2.192475334391248,0.5607419286200717,1.5449833103169914,1.5449833103169914,1.5190752959839942,1.5190752959839942,2.059977747089322,0.43846775907953106,0.43846775907953106,0.36056280270827207,0.3338544469521037,16.972039587969984,15.714851470342577,2.92855283731287,6.779057493779791
PSF size [arcs],12.616855293763889,12.616855293763889,12.616855293763889,12.616855293763889,0.6536814113146615,2.4513052924299807,0.414812746432146,0.44199349217371975,0.398036867634397,5.007045878775813,0.05174479279247161,0.4656308809464686,0.4656308809464686,0.43004950575276385,0.43004950575276385,0.4656308809464686,0.06455411908949733,0.06455411908949733,0.052802819899117066,0.052802819899117066,11.531210745827075,11.531210745827075,1.026706652111203,1.026706652111203
Pixel size [arcs],2.523371058752778,2.523371058752778,2.523371058752778,2.523371058752778,0.1307362822629323,0.4902610584859961,0.0829625492864292,0.08839869843474395,0.07960737352687941,1.0014091757551624,0.01034895855849432,0.09312617618929371,0.09312617618929371,0.08600990115055276,0.08600990115055276,0.09312617618929371,0.012910823817899467,0.012910823817899467,0.010560563979823412,0.010560563979823412,2.3062421491654153,2.3062421491654153,0.20534133042224062,0.20534133042224062
Facet side length [pixels],26473.7423955206,24512.724440296854,44122.90399253433,44122.90399253433,78188.72714799814,28958.787832591905,81275.12427226122,97252.28545398785,78024.11930137077,7881.804356202797,195060.29825342697,59724.77497449959,59724.77497449959,63581.87827666434,63581.87827666434,79633.03329933278,122260.51218342193,122260.51218342193,122912.57287297683,113807.93784534889,26493.030031041028,24530.583362075024,51342.757898019525,118848.97661578593
Image side length [pixels],52947.4847910412,24512.724440296854,44122.90399253433,44122.90399253433,234566.1814439944,28958.787832591905,243825.37281678367,97252.28545398785,234072.35790411232,7881.804356202797,195060.29825342697,238899.09989799836,238899.09989799836,254327.5131066574,254327.5131066574,238899.09989799836,244521.02436684386,244521.02436684386,245825.14574595363,113807.93784534889,52986.060062082055,24530.583362075024,256713.7894900976,118848.97661578593
Epsilon (approx),0.6666666666666672,0.342997170285018,0.6666666666666672,0.6666666666666672,0.4441757193189375,0.24373333911071637,0.4441757193189375,0.24373333911071637,0.4441757193189375,0.24373333911071637,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.6666666666666672,0.342997170285018,0.4441757193189375,0.24373333911071637
Qbw,2.2049999999999983,4.285749642711291,2.2049999999999983,2.2049999999999983,3.309501028678418,6.031181476294671,3.309501028678418,6.031181476294671,3.309501028678418,6.031181476294671,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,2.2049999999999983,4.285749642711291,3.309501028678418,6.031181476294671
Max subband ratio,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35
Number subbands,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,4.0,4.0
Station/antenna diameter,35,35,35,35,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,35,35,13.5,13.5
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,
Ionospheric timescale [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Coalesce time pred0 [s],0.9,0.9,0.9,0.9,0.14,0.5250000000000001,0.14,0.14,0.14,1.6153846153846156,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.9,0.9,0.14,0.14
Coalesce time pred1 [s],0.9,0.9,0.9,0.9,0.14,0.5250000000000001,0.14,0.14,0.14,1.6153846153846156,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.9,0.9,0.14,0.14
Coalesce time pred2 [s],0.9,0.9,0.9,0.9,0.14,0.5250000000000001,0.14,0.14,0.14,1.6153846153846156,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.9,0.9,0.14,0.14
Coalesce time pred3 [s],0.9,0.9,0.9,0.9,0.14,0.5250000000000001,0.14,0.14,0.14,1.6153846153846156,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.9,0.9,0.14,0.14
Coalesce time pred4 [s],0.9,0.9,0.9,0.9,0.14,0.5250000000000001,0.14,0.14,0.14,1.6153846153846156,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.9,0.9,0.14,0.14
Coalesce time pred5 [s],0.9,0.9,0.9,0.9,0.14,0.5250000000000001,0.14,0.14,0.14,1.6153846153846156,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.9,0.9,0.14,0.14
Coalesce time pred6 [s],0.9,0.9,0.9,0.9,0.14,0.5250000000000001,0.14,0.14,0.14,1.6153846153846156,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.9,0.9,0.14,0.14
Coalesce time pred7 [s],0.9,0.9,0.9,0.9,0.14,0.5250000000000001,0.14,0.14,0.14,1.6153846153846156,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.9,0.9,0.14,0.14
Coalesce time pred8 [s],,,,,0.14,0.5250000000000001,0.14,0.14,0.14,1.6153846153846156,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,,,0.14,0.14
Coalesce time pred9 [s],,,,,0.14,0.5250000000000001,0.14,0.14,0.14,1.6153846153846156,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,,,0.14,0.14
Coalesce time pred10 [s],,,,,0.14,0.5250000000000001,0.14,0.14,0.14,1.6153846153846156,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,,,0.14,0.14
Coalesce time pred11 [s],,,,,0.14,0.5250000000000001,0.14,0.14,0.14,1.6153846153846156,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,,,0.14,0.14
Coalesce time bw0 [s],0.9,0.9,0.9,0.9,0.14,0.5250000000000001,0.14,0.14,0.14,1.6153846153846156,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.9,0.9,0.14,0.14
Coalesce time bw1 [s],0.9,0.9,0.9,0.9,0.14,0.5250000000000001,0.14,0.14,0.14,1.6153846153846156,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.9,0.9,0.14,0.14
Coalesce time bw2 [s],0.9,0.9,0.9,0.9,0.14,0.5250000000000001,0.14,0.14,0.14,1.6153846153846156,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.9,0.9,0.14,0.14
Coalesce time bw3 [s],0.9,0.9,0.9,0.9,0.14,0.5250000000000001,0.14,0.14,0.14,1.6153846153846156,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.9,0.9,0.14,0.14
Coalesce time bw4 [s],0.9,0.9,0.9,0.9,0.14,0.5250000000000001,0.14,0.14,0.14,1.6153846153846156,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.9,0.9,0.14,0.14
Coalesce time bw5 [s],0.9,0.9,0.9,0.9,0.14,0.5250000000000001,0.14,0.14,0.14,1.6153846153846156,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.9,0.9,0.14,0.14
Coalesce time bw6 [s],0.9,0.9,0.9,0.9,0.14,0.5250000000000001,0.14,0.14,0.14,1.6153846153846156,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.9,0.9,0.14,0.14
Coalesce time bw7 [s],0.9,0.9,0.9,0.9,0.14,0.5250000000000001,0.14,0.14,0.14,1.6153846153846156,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.9,0.9,0.14,0.14
Coalesce time bw8 [s],,,,,0.14,0.5250000000000001,0.14,0.14,0.14,1.6153846153846156,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,,,0.14,0.14
Coalesce time bw9 [s],,,,,0.14,0.5250000000000001,0.14,0.14,0.14,1.6153846153846156,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,,,0.14,0.14
Coalesce time bw10 [s],,,,,0.14,0.5250000000000001,0.14,0.14,0.14,1.6153846153846156,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,,,0.14,0.14
Coalesce time bw11 [s],,,,,0.14,0.5250000000000001,0.14,0.14,0.14,1.6153846153846156,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,,,0.14,0.14
Combined Samples0,14.0,13.0,14.0,14.0,24.0,6.0,23.0,25.0,24.0,2.0,24.0,24.0,24.0,23.0,23.0,24.0,23.0,23.0,23.0,23.0,14.0,13.0,23.0,23.0
Combined Samples1,9.0,9.0,9.0,9.0,16.0,4.0,15.0,16.0,16.0,1.0,16.0,16.0,16.0,15.0,15.0,16.0,15.0,15.0,15.0,15.0,9.0,9.0,15.0,15.0
Combined Samples2,6.0,6.0,6.0,6.0,12.0,3.0,11.0,12.0,12.0,1.0,12.0,12.0,12.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,6.0,6.0,11.0,11.0
Combined Samples3,4.0,4.0,4.0,4.0,8.0,2.0,7.0,8.0,8.0,1.0,8.0,8.0,8.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,4.0,4.0,7.0,7.0
Combined Samples4,3.0,2.0,3.0,3.0,4.0,1.0,4.0,5.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0
Combined Samples5,2.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0
Combined Samples6,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0
Combined Samples7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Combined Samples8,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0
Combined Samples9,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0
Combined Samples10,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0
Combined Samples11,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0
Channels predict (no-smear),23483.615124332395,25357.69099984863,23483.615124332395,23483.615124332395,21760.03326863552,5874.90211016006,26842.397673499825,8377.351095988965,21488.724594920375,66.72140768035355,21488.724594920375,48279.00153236485,48279.00153236485,65190.5312565323,65190.5312565323,48279.00153236485,54447.72758676212,54447.72758676212,55877.680875140846,56572.54569243951,32975.4265816828,35606.9827446091,135602.13352237805,137288.40894903094
Channels backward (no-smear)0,863.6903446640755,1553.8091629762937,1439.0220074055394,1439.0220074055394,290.2247521464745,734.4434476774929,358.008708207243,279.28085374879674,286.6062635725801,25.664246596024633,716.3789380602059,482.99069219279056,482.99069219279056,652.167937578682,652.167937578682,643.9200286165463,1089.1760088165274,1089.1760088165274,1117.780287073192,1885.9751150023908,1212.7838660193845,2181.8409106014506,1085.3618872090558,4576.81127226378
Channels backward (no-smear)1,1251.1586148232877,2251.1266360271425,2084.8023964370545,2084.8023964370545,435.2910290982149,1101.6190674725092,536.9572860809892,418.90275499589205,429.86382302328974,38.494609457539404,1074.522829922399,724.3846956472404,724.3846956472404,978.1192792840136,978.1192792840136,965.7786943764594,1633.6510299688712,1633.6510299688712,1676.554788025041,2828.8470245059593,1756.8624315920244,3161.0062248568347,1627.768254954736,6864.942273636082
Channels backward (no-smear)2,1832.3609745268375,3297.102820280685,3053.4729526440356,3053.4729526440356,580.3573044226926,1468.7946866230889,715.9058620235973,558.5246559695574,573.1213808637368,51.32497229224026,1432.6667211420954,965.7786943764594,965.7786943764594,1304.070614995905,1304.070614995905,1287.6373565920976,2178.126048514747,2178.126048514747,2235.3292863182373,3771.7189324319356,2572.980216056625,4629.754160708587,2170.174607264631,9153.073271346264
Channels backward (no-smear)3,2660.134001657883,4786.8264596173585,4433.094635524015,4433.094635524015,870.4898534441417,2203.1459242849523,1073.8030119774014,837.7684576434344,859.6364949340269,66.72140768035355,2148.954502933313,1448.5666871083445,1448.5666871083445,1955.9732804231985,1955.9732804231985,1931.3546774765398,3267.07608300433,3267.07608300433,3352.8782802456103,5657.462746707873,3735.3297448941657,6721.607257574179,3254.987296445331,13729.335263104213
Channels backward (no-smear)4,3892.987424881861,7005.563782880562,6487.850320557811,6487.850320557811,1450.7549495332357,3671.8483988277135,1789.5973095663412,1396.2560606678828,1432.6667211420954,128.3071491877274,3581.5300657480143,2414.1426668997783,2414.1426668997783,3259.7786040836563,3259.7786040836563,3218.789314993408,5444.976148857445,5444.976148857445,5587.976264909225,9428.950373368421,5466.4885875443915,9837.133129807215,5424.612656270212,22881.859242246133
Channels backward (no-smear)5,5671.818778067089,10206.884769757768,9452.569228770244,9452.569228770244,2031.020044876308,5140.550873089399,2505.391606269829,1954.7436635588253,2005.6969466105954,179.6286004280895,5014.1056282530935,3379.7186445257976,3379.7186445257976,4563.583925007532,4563.583925007532,4506.223950889295,7622.876213523674,7622.876213523674,7823.074248348689,13200.437999296486,7964.303468585826,14332.391876912034,7594.238009030848,32034.383219760202
Channels backward (no-smear)6,8278.423127176913,14897.929378619174,13796.909801136626,13796.909801136626,3191.550234958787,5874.902110160061,3936.9801989593916,3071.718869253034,3151.7573969500827,282.2715028998748,7879.256753068427,5310.870598018509,5310.870598018509,7171.194564597031,7171.194564597031,7081.093221344769,11978.676341888648,11978.676341888648,12293.27021425803,20743.413250674002,11624.467834674877,20919.503696560292,11933.488708788935,50339.43117338024
Channels backward (no-smear)7,14090.446326176349,25357.69099984863,23483.615124332395,23483.615124332395,4352.080424763118,11015.360769551247,5368.56879132114,4188.694074905575,4297.817847033029,384.9144053664507,10744.407877796613,7242.02255073392,7242.02255073392,9778.805203194423,9778.805203194423,9655.962491205197,16334.476469786141,16334.476469786141,16763.46617971685,28286.38850162736,19785.645120817804,35606.98274460911,16272.739405947037,68644.47912648872
Channels backward (no-smear)8,,,,,5222.478067072525,13218.414480651934,6442.260235513635,5026.425479104304,5157.363184520282,461.89658221317296,12893.271221261048,8690.38651503596,8690.38651503596,11734.513181907203,11734.513181907203,11587.114443504672,19601.326565676056,19601.326565676056,20116.113153633392,33943.619939647484,,,19527.17742822523,82373.26509018058
Channels backward (no-smear)9,,,,,6383.008256730193,16155.819428625153,7873.848827754904,6143.40068474348,6303.42363444012,564.5394846753744,15758.422345734596,10621.538467352408,10621.538467352408,14342.123819976441,14342.123819976441,14161.983713092513,23957.126693206257,23957.126693206257,24586.309118931273,41486.595190876724,,,23866.428124018337,100678.31304361316
Channels backward (no-smear)10,,,,,7543.5384464037115,19093.224376601953,9305.437419941278,7260.375890433637,7449.484084359903,667.1823871407294,18623.573470428568,12552.690419580154,12552.690419580154,16949.734457906787,16949.734457906787,16736.85298255884,28312.926820804376,28312.926820804376,29056.505084177163,49029.57044203559,,,28205.67881959181,118983.36099533516
