Frequency Max [GHz],0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6
Pipeline,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Kernel time pred7 [s],,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred8 [s],,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred9 [s],,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred10 [s],,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred11 [s],,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward4 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward5 [s],,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward6 [s],,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward7 [s],,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward8 [s],,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward9 [s],,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward10 [s],,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward11 [s],,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Visibilities AW pred0 [1],42.4999626477837,2.055931480757196,2.0559314818127783,1.904674501631286,3.1662109287651536,3.16621093029506,112.69683143043659,21.872748608855915,2.864787876151377,69.04211074207839,4.656606878828888,4.656606873304712,4.038530030969396,4.036582295223048,17.23592558450468,361.8194402439818,67.54532540035117,18.096662698722266,227.91564238027888,5.252418231336804,5.252418223235163,3.9069188194056186,16.077824012099516,16.094879883398498,691.2621038242146,233.8848201105275,17.02292272432288,766.3246676590757,114.52937662351985,6.870808458430856,16.28474728419752,16.257078170625416,16.28776216882912,1064.9039453672913,786.7066342294141,17.112588926354476,2099.3957749664332,113.71247949380991,6.711796114790147,16.14841285157261,16.1220776852484,16.151283822285652,2371.2635910919466,2155.621683005477,16.966572156219502,477.2874239877835,124.8143329782647,7.086982337397505,16.92954657781643,16.908576697469996,16.93164118881098,630.1325010103602,478.59719933224505,17.837799005877134
Visibilities AW pred1 [1],25.312817902426026,4.0876741726737285,4.087674178560134,3.789532384540646,6.280096798445584,6.280096806913132,150.4357652969856,18.091268712575832,7.947640587453013,77.24877794373874,8.263489364145094,8.26348934633072,6.2495528387622015,6.244048703049748,38.510100438661325,486.50499441765965,76.30837578858558,40.685429239437056,262.39081717939183,10.554690163350699,10.554690133751558,5.844415809334333,36.67632646001698,36.746627940886825,962.7285391172294,268.8257455690208,39.35581375926316,979.6677898756134,267.3109930755661,15.394067810561147,37.379397551839084,37.26364211909671,37.392039001451145,1550.464452005302,1004.0488995978449,39.569555954119416,2835.5730452546213,265.6840921082452,15.26810230856721,35.79324179549013,35.68681479231999,35.80486925918413,3512.618765648961,3010.5896971735324,39.23242999928811,601.3167289288588,274.62035370686914,16.022787812319866,37.99338391672571,37.907402278071444,38.00198630666746,919.2751234343068,616.2960486133001,40.13181784757058
Visibilities AW pred2 [1],23.651179213391636,8.057110919797529,8.057110951776565,7.484530379454056,19.509399769864462,19.509399841349317,272.7696264162619,21.297041823562193,31.54118170659635,83.77115818288225,14.585004068724302,14.585004020948626,11.013744634569738,10.998920778705,67.81666875446777,587.6175558153941,83.5854110898474,72.22543589010965,283.40437364887987,18.51807147775536,18.518071398803514,10.275840328606355,64.46999248638548,64.65652405556231,1194.4889708300543,296.94123313090984,69.93888651316537,1117.8943269529098,431.84351462785435,27.233695728673307,66.17712849866388,65.86465304048151,66.2113440890352,2000.6741388223388,1171.6576045405102,70.34098633571573,3571.284790598178,429.6936905357176,27.01593274224538,65.64274963178333,65.3450263579579,65.67535980316151,4610.958430350596,3743.90523639384,69.74351362838017,689.9389927959164,510.0259255663423,28.61179784577765,67.34217706021879,67.10913858954103,67.36553730632876,1188.4763809421872,723.136840178298,71.34082628861574
Visibilities AW pred3 [1],32.22331489769707,28.718926461403914,28.71892676116127,26.818773824607938,86.05682673020648,86.05682673020648,444.4376805889489,24.869697599068115,119.03127573249401,94.40020858150181,32.27109223998797,32.27109205181156,25.037716420364536,24.976919104679677,149.04807587411756,749.6814900485927,96.20698654693159,161.56836708481723,314.108409147076,42.052354850224184,42.05235453064335,22.9552540383373,141.33622055679348,142.0533162415366,1579.165853540242,344.7678386980722,157.12910947826333,1308.2105910934094,968.7031848679171,60.579307047492215,147.45604959539872,146.2065649847095,147.59371603954176,2811.372517942937,1436.2635739108712,158.23784272628004,4521.944830804473,966.0027180731744,60.12116438463652,146.32042615417419,145.12835499845548,146.45177585274584,6682.652235515873,4965.696163663239,156.9107458268252,812.255246969065,1012.944989885033,64.88903651524855,150.45890611972078,149.51824669147942,150.5536288125328,1675.5868473050284,891.7800045358879,160.48991609091138
Visibilities AW pred4 [1],56.00196356480614,102.05256568555046,102.05256568555046,97.57259148060747,351.11384247980527,351.11384247980527,635.0350442710396,28.813819283091508,346.6268756892753,103.23606983928542,86.12928735322734,86.12928635260924,69.3821271692709,69.03582609111996,363.13878905500627,959.8064483653875,113.30278245354397,448.505824205256,373.06390574055115,109.59461254521406,109.59461088090693,64.44366090726655,388.09291533379866,391.8871551523963,2092.9092801755746,409.46056490079485,445.60218322115395,1619.2851050721383,2341.413630863195,166.18879246805278,419.97368738714323,412.74969691910775,420.7813309757143,4005.0758196421366,1777.588044786718,451.73880778185617,6014.311908318564,2343.5872136325083,165.10128692890623,417.11204462999007,410.19850469871847,417.88463566873384,9957.790559446597,6603.547566895885,448.20063617813804,1010.2436907583259,2498.986200534696,171.382787763953,431.31042822693405,425.7488288174541,431.87663934143967,2397.7890282040007,1109.0234048193788,458.2091092303476
Visibilities AW pred5 [1],,,,,,,,,,126.96278450511521,172.89496562965988,172.89496258211943,135.20826564568853,134.149360091863,732.0207190379176,1019.7626393124507,116.11809734681258,828.7825068821226,384.25786444063914,213.66788829415097,213.6678833557862,123.7175799577885,678.5567078553886,688.2894103043888,2258.3764741015993,421.73806690746443,859.3377119966455,1696.6466819818322,4313.9190529361595,325.45537637894074,762.5033138971158,742.2030205203306,764.8095487579868,4487.647295370105,1862.4044981398301,883.8429631924581,6500.77490693538,4329.571637755549,323.68890577846673,758.0610202705225,738.566919030499,760.2735825660128,11474.545108467306,7137.044394790356,878.0095929308386,1060.552578974239,4675.0532582551505,338.8387494424074,788.8119621470801,772.7905929320834,790.4633982349108,2693.7587716760986,1164.1804705985644,896.6799182831411
Visibilities AW pred6 [1],,,,,,,,,,148.15303209272616,370.230940209591,370.2309295596776,311.7379483719438,307.4834557193835,1582.6478315715626,1108.9560994502745,121.94728857955243,1768.2942313289263,541.7468338204892,480.73153549017616,480.7315172525949,309.0053091973929,1869.5229384246106,1910.7575738235382,2489.3224754394814,445.93222300534507,2103.246227513167,2431.1751602206805,10832.815538711418,714.581218411597,2252.0038627553345,2150.3447351706022,2263.9305484489496,5126.996039535508,2001.3999941875697,2296.572829251268,9568.69718147726,10907.942450025055,712.3051968419478,2243.4699784787567,2145.182182023649,2254.981230006014,13510.526657971996,7878.150522036045,2294.1543939135586,1522.1894463811086,11966.825336696606,910.4256146507754,2365.5900215444503,2281.187357594132,2374.5205624296045,3085.808184025455,1253.1135060859704,2331.9867620095865
Visibilities AW pred7 [1],,,,,,,,,,173.6292399489082,611.7281074634479,611.728084250502,599.0204360741768,587.5969389692995,2750.5684254288894,1766.0360356635813,190.55527248099554,2773.155433258184,638.0740555677467,836.0440811010177,836.0440390597419,514.4081192211377,3380.4856021545847,3474.3813379674702,3987.674630895291,700.2897450200359,3827.4992260390172,2888.700620598346,12320.490249579454,1357.2872914137113,4312.288335281514,4046.926342118952,4344.344026515386,8347.5702809455,3170.6269214625345,4622.910419312602,11503.99053349842,12428.14596235453,1355.7337413685675,4304.206140904188,4046.063777685464,4335.321215182817,22326.63266298193,12628.009019775738,4670.043748177956,1809.9911619033517,13433.232520843774,1467.8186594228796,4596.9743935842625,4366.026761184589,4622.0376870430555,5030.598227178297,1986.6543828212561,4702.4260718736305
Visibilities AW pred8 [1],,,,,,,,,,150.04792045500412,822.2846986837131,822.2846628688745,822.6235293537211,803.9409599816729,2653.57271549841,1541.8020950371686,164.67474585284535,2718.3049741953864,553.124459029026,1172.374926751089,1172.3748588840408,691.904526788401,3726.022341499574,3841.614428311195,3490.366624998565,607.0540191819674,4105.4292946956475,2515.96360399653,13179.232216277062,2055.07758985456,4923.355169155361,4568.351711120733,4967.071709094263,7358.932403766373,2761.4691139063757,5445.1094645777075,10072.347623475822,13305.6709067633,2055.4863751040675,4920.502649015765,4573.765298744638,4963.099726641624,19815.350307792156,11056.179919019783,5572.018262940561,1576.9891792834424,12036.12655310517,2250.2196376454062,5301.94267740992,4983.063426980111,5337.161138019546,4437.324988301447,1730.8817670873352,5549.728199290954
Visibilities AW pred9 [1],,,,,,,,,,255.34869066148931,1151.9885046375189,1151.9884474858582,1180.6618474396248,1148.8301925381647,4977.105614928556,1326.1316929138618,140.11983963318224,5162.402437842302,944.6678654075595,1754.7670339159497,1754.7669178427616,1202.2922644892435,8212.16388803205,8494.169260634422,3009.0497598174616,518.3839246230167,8494.373827930493,4318.567102123931,14113.303484955708,2338.499168961901,11274.581506994833,10327.192727632588,11393.846576022124,6384.064243570653,2369.949170617371,12856.527921888977,17371.42647456908,14259.677883425327,2342.5708313665823,11285.194421442822,10355.597285325806,11401.931653036787,17293.198541928276,9533.849194612962,13470.636903441964,2707.7437642365594,10595.219024460162,3897.2638872629927,12289.845565405984,11406.913309827934,12389.434919682913,3851.420106924157,1485.9677603020393,13149.647728317703
Visibilities AW pred10 [1],,,,,,,,,,223.07906733395956,1674.8097170276862,1674.8096259493182,1313.2269386783971,1273.083932385153,4655.017883304138,1168.825323568389,122.41202274078118,4187.3118393628665,827.8645046201708,1915.7974757463317,1915.7973364885113,1347.7019231974364,8316.485749690179,8316.485749690179,2656.330934239792,454.2868121982799,8454.544258525599,3800.2568653299245,14416.553428399611,3872.0605539131216,12510.781257138411,11337.060197734847,12661.280296796187,5659.500926773783,2085.487557093841,14509.221833936266,15337.975396273583,15047.643085051195,3883.7878727374346,12538.804123701504,11382.706441653589,12686.683409080772,15391.939645034214,8417.678341989576,15674.67522014574,2383.35070698149,9486.001272357506,4355.945961381462,13782.101789159457,12653.473827740032,13911.763867827158,3415.442116269268,1307.9308401702972,14904.657948881546
Visibilities AW pred11 [1],,,,,,,,,,198.59760288862444,1793.4574233200938,1793.4573189846597,1840.157416865788,1840.157416865788,3799.109179706817,1048.4612754042548,108.97796487939814,3418.6321889229775,739.064379661533,3080.393111962879,3080.3928719505875,1969.2237969227833,8027.429992481164,8027.429992481164,2385.597776133599,405.5570788443858,8252.373437486125,3404.699996511177,13048.446062096371,4187.982076587596,13590.997337323335,12206.532252027753,13771.258479225016,5098.081311681836,1868.4002099436866,15818.145568991828,13776.587358662868,15720.877084999349,4205.162156895225,13636.43704474787,12268.409349501282,13814.143121956735,13904.608226453609,7560.654780499664,17720.986475762926,2135.6961123565966,8198.588213108529,4761.485421984533,15109.173734783484,13742.19762358857,15268.735340675175,3077.3643040343677,1172.0131130127063,16328.629801923304
Visibilities AW bw0 [1],42.4999626477837,2.055931480757196,2.0559314818127783,1.904674501631286,3.1662109287651536,3.16621093029506,112.69683143043659,21.872748608855915,2.864787876151377,69.04211074207839,4.656606878828888,4.656606873304712,4.038530030969396,4.036582295223048,17.23592558450468,361.8194402439818,67.54532540035117,18.096662698722266,227.91564238027888,5.252418231336804,5.252418223235163,3.9069188194056186,16.077824012099516,16.094879883398498,691.2621038242146,233.8848201105275,17.02292272432288,766.3246676590757,114.52937662351985,6.870808458430856,16.28474728419752,16.257078170625416,16.28776216882912,1064.9039453672913,786.7066342294141,17.112588926354476,2099.3957749664332,113.71247949380991,6.711796114790147,16.14841285157261,16.1220776852484,16.151283822285652,2371.2635910919466,2155.621683005477,16.966572156219502,477.2874239877835,124.8143329782647,7.086982337397505,16.92954657781643,16.908576697469996,16.93164118881098,630.1325010103602,478.59719933224505,17.837799005877134
Visibilities AW bw1 [1],25.312817902426026,4.0876741726737285,4.087674178560134,3.789532384540646,6.280096798445584,6.280096806913132,150.4357652969856,18.091268712575832,7.947640587453013,77.24877794373874,8.263489364145094,8.26348934633072,6.2495528387622015,6.244048703049748,38.510100438661325,486.50499441765965,76.30837578858558,40.685429239437056,262.39081717939183,10.554690163350699,10.554690133751558,5.844415809334333,36.67632646001698,36.746627940886825,962.7285391172294,268.8257455690208,39.35581375926316,979.6677898756134,267.3109930755661,15.394067810561147,37.379397551839084,37.26364211909671,37.392039001451145,1550.464452005302,1004.0488995978449,39.569555954119416,2835.5730452546213,265.6840921082452,15.26810230856721,35.79324179549013,35.68681479231999,35.80486925918413,3512.618765648961,3010.5896971735324,39.23242999928811,601.3167289288588,274.62035370686914,16.022787812319866,37.99338391672571,37.907402278071444,38.00198630666746,919.2751234343068,616.2960486133001,40.13181784757058
Visibilities AW bw2 [1],23.651179213391636,8.057110919797529,8.057110951776565,7.484530379454056,19.509399769864462,19.509399841349317,272.7696264162619,21.297041823562193,31.54118170659635,83.77115818288225,14.585004068724302,14.585004020948626,11.013744634569738,10.998920778705,67.81666875446777,587.6175558153941,83.5854110898474,72.22543589010965,283.40437364887987,18.51807147775536,18.518071398803514,10.275840328606355,64.46999248638548,64.65652405556231,1194.4889708300543,296.94123313090984,69.93888651316537,1117.8943269529098,431.84351462785435,27.233695728673307,66.17712849866388,65.86465304048151,66.2113440890352,2000.6741388223388,1171.6576045405102,70.34098633571573,3571.284790598178,429.6936905357176,27.01593274224538,65.64274963178333,65.3450263579579,65.67535980316151,4610.958430350596,3743.90523639384,69.74351362838017,689.9389927959164,510.0259255663423,28.61179784577765,67.34217706021879,67.10913858954103,67.36553730632876,1188.4763809421872,723.136840178298,71.34082628861574
Visibilities AW bw3 [1],32.22331489769707,28.718926461403914,28.71892676116127,26.818773824607938,86.05682673020648,86.05682673020648,444.4376805889489,24.869697599068115,119.03127573249401,94.40020858150181,32.27109223998797,32.27109205181156,25.037716420364536,24.976919104679677,149.04807587411756,749.6814900485927,96.20698654693159,161.56836708481723,314.108409147076,42.052354850224184,42.05235453064335,22.9552540383373,141.33622055679348,142.0533162415366,1579.165853540242,344.7678386980722,157.12910947826333,1308.2105910934094,968.7031848679171,60.579307047492215,147.45604959539872,146.2065649847095,147.59371603954176,2811.372517942937,1436.2635739108712,158.23784272628004,4521.944830804473,966.0027180731744,60.12116438463652,146.32042615417419,145.12835499845548,146.45177585274584,6682.652235515873,4965.696163663239,156.9107458268252,812.255246969065,1012.944989885033,64.88903651524855,150.45890611972078,149.51824669147942,150.5536288125328,1675.5868473050284,891.7800045358879,160.48991609091138
Visibilities AW bw4 [1],56.00196356480614,102.05256568555046,102.05256568555046,97.57259148060747,351.11384247980527,351.11384247980527,635.0350442710396,28.813819283091508,346.6268756892753,103.23606983928542,86.12928735322734,86.12928635260924,69.3821271692709,69.03582609111996,363.13878905500627,959.8064483653875,113.30278245354397,448.505824205256,373.06390574055115,109.59461254521406,109.59461088090693,64.44366090726655,388.09291533379866,391.8871551523963,2092.9092801755746,409.46056490079485,445.60218322115395,1619.2851050721383,2341.413630863195,166.18879246805278,419.97368738714323,412.74969691910775,420.7813309757143,4005.0758196421366,1777.588044786718,451.73880778185617,6014.311908318564,2343.5872136325083,165.10128692890623,417.11204462999007,410.19850469871847,417.88463566873384,9957.790559446597,6603.547566895885,448.20063617813804,1010.2436907583259,2498.986200534696,171.382787763953,431.31042822693405,425.7488288174541,431.87663934143967,2397.7890282040007,1109.0234048193788,458.2091092303476
Visibilities AW bw5 [1],,,,,,,,,,126.96278450511521,172.89496562965988,172.89496258211943,135.20826564568853,134.149360091863,732.0207190379176,1019.7626393124507,116.11809734681258,828.7825068821226,384.25786444063914,213.66788829415097,213.6678833557862,123.7175799577885,678.5567078553886,688.2894103043888,2258.3764741015993,421.73806690746443,859.3377119966455,1696.6466819818322,4313.9190529361595,325.45537637894074,762.5033138971158,742.2030205203306,764.8095487579868,4487.647295370105,1862.4044981398301,883.8429631924581,6500.77490693538,4329.571637755549,323.68890577846673,758.0610202705225,738.566919030499,760.2735825660128,11474.545108467306,7137.044394790356,878.0095929308386,1060.552578974239,4675.0532582551505,338.8387494424074,788.8119621470801,772.7905929320834,790.4633982349108,2693.7587716760986,1164.1804705985644,896.6799182831411
Visibilities AW bw6 [1],,,,,,,,,,148.15303209272616,370.230940209591,370.2309295596776,311.7379483719438,307.4834557193835,1582.6478315715626,1108.9560994502745,121.94728857955243,1768.2942313289263,541.7468338204892,480.73153549017616,480.7315172525949,309.0053091973929,1869.5229384246106,1910.7575738235382,2489.3224754394814,445.93222300534507,2103.246227513167,2431.1751602206805,10832.815538711418,714.581218411597,2252.0038627553345,2150.3447351706022,2263.9305484489496,5126.996039535508,2001.3999941875697,2296.572829251268,9568.69718147726,10907.942450025055,712.3051968419478,2243.4699784787567,2145.182182023649,2254.981230006014,13510.526657971996,7878.150522036045,2294.1543939135586,1522.1894463811086,11966.825336696606,910.4256146507754,2365.5900215444503,2281.187357594132,2374.5205624296045,3085.808184025455,1253.1135060859704,2331.9867620095865
Visibilities AW bw7 [1],,,,,,,,,,173.6292399489082,611.7281074634479,611.728084250502,599.0204360741768,587.5969389692995,2750.5684254288894,1766.0360356635813,190.55527248099554,2773.155433258184,638.0740555677467,836.0440811010177,836.0440390597419,514.4081192211377,3380.4856021545847,3474.3813379674702,3987.674630895291,700.2897450200359,3827.4992260390172,2888.700620598346,12320.490249579454,1357.2872914137113,4312.288335281514,4046.926342118952,4344.344026515386,8347.5702809455,3170.6269214625345,4622.910419312602,11503.99053349842,12428.14596235453,1355.7337413685675,4304.206140904188,4046.063777685464,4335.321215182817,22326.63266298193,12628.009019775738,4670.043748177956,1809.9911619033517,13433.232520843774,1467.8186594228796,4596.9743935842625,4366.026761184589,4622.0376870430555,5030.598227178297,1986.6543828212561,4702.4260718736305
Visibilities AW bw8 [1],,,,,,,,,,150.04792045500412,822.2846986837131,822.2846628688745,822.6235293537211,803.9409599816729,2653.57271549841,1541.8020950371686,164.67474585284535,2718.3049741953864,553.124459029026,1172.374926751089,1172.3748588840408,691.904526788401,3726.022341499574,3841.614428311195,3490.366624998565,607.0540191819674,4105.4292946956475,2515.96360399653,13179.232216277062,2055.07758985456,4923.355169155361,4568.351711120733,4967.071709094263,7358.932403766373,2761.4691139063757,5445.1094645777075,10072.347623475822,13305.6709067633,2055.4863751040675,4920.502649015765,4573.765298744638,4963.099726641624,19815.350307792156,11056.179919019783,5572.018262940561,1576.9891792834424,12036.12655310517,2250.2196376454062,5301.94267740992,4983.063426980111,5337.161138019546,4437.324988301447,1730.8817670873352,5549.728199290954
Visibilities AW bw9 [1],,,,,,,,,,255.34869066148931,1151.9885046375189,1151.9884474858582,1180.6618474396248,1148.8301925381647,4977.105614928556,1326.1316929138618,140.11983963318224,5162.402437842302,944.6678654075595,1754.7670339159497,1754.7669178427616,1202.2922644892435,8212.16388803205,8494.169260634422,3009.0497598174616,518.3839246230167,8494.373827930493,4318.567102123931,14113.303484955708,2338.499168961901,11274.581506994833,10327.192727632588,11393.846576022124,6384.064243570653,2369.949170617371,12856.527921888977,17371.42647456908,14259.677883425327,2342.5708313665823,11285.194421442822,10355.597285325806,11401.931653036787,17293.198541928276,9533.849194612962,13470.636903441964,2707.7437642365594,10595.219024460162,3897.2638872629927,12289.845565405984,11406.913309827934,12389.434919682913,3851.420106924157,1485.9677603020393,13149.647728317703
