,Ingest (Mid5a) [],RCAL (Mid5a) [],FastImg (Mid5a) [],ICAL (Mid5a) [],DPrepA (Mid5a) [],DPrepA_Image (Mid5a) [],DPrepB (Mid5a) [],DPrepC (Mid5a) [],DPrepD (Mid5a) [],PSS (Mid5a) [],PST (Mid5a) [],Pulse (Mid5a) [],Ingest (Mid2) [],RCAL (Mid2) [],FastImg (Mid2) [],ICAL (Mid2) [],DPrepA (Mid2) [],DPrepA_Image (Mid2) [],DPrepB (Mid2) [],DPrepC (Mid2) [],DPrepD (Mid2) [],PSS (Mid2) [],PST (Mid2) [],Pulse (Mid2) [],Ingest (Mid5b) [],RCAL (Mid5b) [],FastImg (Mid5b) [],ICAL (Mid5b) [],DPrepA (Mid5b) [],DPrepA_Image (Mid5b) [],DPrepB (Mid5b) [],DPrepC (Mid5b) [],DPrepD (Mid5b) [],PSS (Mid5b) [],PST (Mid5b) [],Pulse (Mid5b) [],Ingest (Mid1) [],RCAL (Mid1) [],FastImg (Mid1) [],ICAL (Mid1) [],DPrepA (Mid1) [],DPrepA_Image (Mid1) [],DPrepB (Mid1) [],DPrepC (Mid1) [],DPrepD (Mid1) [],PSS (Mid1) [],PST (Mid1) [],Pulse (Mid1) [],Ingest (Low) [],RCAL (Low) [],FastImg (Low) [],ICAL (Low) [],DPrepA (Low) [],DPrepA_Image (Low) [],DPrepB (Low) [],DPrepC (Low) [],DPrepD (Low) [],PSS (Low) [],PST (Low) [],Pulse (Low) []
Backward rate2 [M/s],,0.21070092369432525,0.8683838728089434,0.21070092369432525,0.5109275999885773,0.5109275999885773,0.5109275999885773,23.582045107507536,,,,,,0.10847908015311178,0.8724346502116604,0.10847908015311178,0.0798619248337213,0.0798619248337213,0.5133109342091908,8.944913661468375,,,,,,0.21225363474050812,0.8747832763067066,0.21225363474050812,0.5146927827536246,0.5146927827536246,0.5146927827536246,23.582045107507536,,,,,,0.12342457459212915,1.6090746461186787,0.12342457459212915,0.1529574346915074,0.1529574346915074,0.1529574346915074,6.826381478489023,,,,,,66.28875076222748,35.790956345303535,66.28875076222748,9.208416183486534,9.208416183486534,9.208416183486534,352.06161482546474,,,,
Backward rate3 [M/s],,0.8240246089013976,3.293321791150144,0.8240246089013976,1.9982140556633274,1.9982140556633274,1.9982140556633274,64.415833909631,,,,,,0.4196763676631176,3.3086842940206718,0.4196763676631176,0.31231860380835635,0.31231860380835635,2.0075351976313844,23.732149335127218,,,,,,0.8300970980567679,3.317591417801589,0.8300970980567679,2.012939562084124,2.012939562084124,2.012939562084124,64.415833909631,,,,,,0.4911451436591383,6.712614870462857,0.4911451436591383,0.6099064563880106,0.6099064563880106,0.6099064563880106,18.036433494696688,,,,,,500.0502352684087,179.98941421381375,500.0502352684087,46.30508517110153,46.30508517110153,46.30508517110153,885.3073126667203,,,,
Backward rate4 [M/s],,2.946709993082877,12.758616973818267,2.946709993082877,7.38933009539252,7.38933009539252,7.38933009539252,142.92890238343082,,,,,,1.5272618608276192,12.818132784379605,1.5272618608276192,1.1313224735708494,1.1313224735708494,7.423799469953688,51.974146321247574,,,,,,2.9684252940410363,12.852639837309344,2.9684252940410363,7.443784689229693,7.443784689229693,7.443784689229693,142.92890238343082,,,,,,1.7146226833070404,23.641162365489283,1.7146226833070404,2.1908801419663284,2.1908801419663284,2.1908801419663284,38.11437396891488,,,,,,390.6250518882734,281.2023683267789,390.6250518882734,72.34120482860442,72.34120482860442,72.34120482860442,691.5951242708401,,,,
Backward rate5 [M/s],,4.367822401614128,19.639296425128503,4.367822401614128,10.11052227512352,10.11052227512352,10.11052227512352,139.69027331075222,,,,,,2.1700309485829035,19.730908998622542,2.1700309485829035,1.6253085169411992,1.6253085169411992,10.157685386709232,52.38385249153208,,,,,,4.4000104198393215,19.78402563957005,4.4000104198393215,10.185030389201248,10.185030389201248,10.185030389201248,139.69027331075222,,,,,,2.529279062270605,36.39077464781482,2.529279062270605,3.2117550604049385,3.2117550604049385,3.2117550604049385,41.90708199322567,,,,,,,,,,,,,,,,
Backward rate6 [M/s],,12.734080006513777,50.89556566669872,12.734080006513777,39.302276410297615,39.302276410297615,39.302276410297615,259.16837834751794,,,,,,6.853737821747703,51.13298138687203,6.853737821747703,5.264910839595864,5.264910839595864,39.48561211033149,103.66735133900718,,,,,,12.827922076313696,51.270634168689156,12.827922076313696,39.591909490837836,39.591909490837836,39.591909490837836,259.16837834751794,,,,,,7.8654260973058125,141.46099733325704,7.8654260973058125,9.71034895452192,9.71034895452192,9.71034895452192,86.38945944917265,,,,,,,,,,,,,,,,
Backward rate7 [M/s],,24.98794967371074,99.87224969793589,24.98794967371074,77.12266877896123,77.12266877896123,77.12266877896123,497.26615696163884,,,,,,11.954641127312723,100.33813019447696,11.954641127312723,8.855335106284267,8.855335106284267,77.48242772939139,165.7553856538796,,,,,,25.1720951144073,100.60824603517455,25.1720951144073,77.69101467750033,77.69101467750033,77.69101467750033,497.26615696163884,,,,,,14.69918608267048,185.05908354545787,14.69918608267048,19.054423295085776,19.054423295085776,19.054423295085776,99.45323139232777,,,,,,,,,,,,,,,,
Backward rate8 [M/s],,13.100975850036763,78.54344719437182,13.100975850036763,30.326125665926902,30.326125665926902,30.326125665926902,162.94597253684162,,,,,,5.640938989177329,78.90983392290595,5.640938989177329,4.062421971467608,4.062421971467608,30.46758987974876,54.315324178947215,,,,,,13.197521820355563,79.12226363358417,13.197521820355563,30.549610322939177,30.549610322939177,30.549610322939177,162.94597253684162,,,,,,6.743309906872117,145.53771815235422,6.743309906872117,8.991049526005945,8.991049526005945,8.991049526005945,40.736493134210406,,,,,,,,,,,,,,,,
Backward rate9 [M/s],,12.883417366013106,77.2392689162026,12.883417366013106,59.64511714879946,59.64511714879946,59.64511714879946,131.10595510168113,,,,,,6.934070186342221,77.59957201880766,6.934070186342221,5.9924272731635035,5.9924272731635035,59.92334759274299,65.55297755084057,,,,,,12.978360098058415,77.80847446541487,12.978360098058415,60.084664605464404,60.084664605464404,60.084664605464404,131.10595510168113,,,,,,7.9575735913297425,131.10595510168113,7.9575735913297425,11.052155019123935,11.052155019123935,11.052155019123935,43.70198503389371,,,,,,,,,,,,,,,,
Backward rate10 [M/s],,1.7129047123185037,6.846199551595412,1.7129047123185037,5.286717917761974,5.286717917761974,5.286717917761974,9.832946632626088,,,,,,0.8194782185749908,6.878135473060723,0.8194782185749908,0.5311448602693172,0.5311448602693172,5.311379217088076,4.916473316313044,,,,,,1.7255277521388084,6.896651805738712,1.7255277521388084,5.325677750024485,5.325677750024485,5.325677750024485,9.832946632626088,,,,,,0.881659236956485,9.832946632626088,0.881659236956485,0.9796190850604203,0.9796190850604203,0.9796190850604203,4.916473316313044,,,,,,,,,,,,,,,,
Backward rate11 [M/s],,0.8470392709324167,3.3854802483625646,0.8470392709324167,2.6143080139198807,2.6143080139198807,2.6143080139198807,4.2141199737916475,,,,,,0.4052354639597427,3.40127272406161,0.4052354639597427,0.350204384773248,0.350204384773248,2.626503149111849,4.2141199737916475,,,,,,0.8532814233168798,3.4104291448530204,0.8532814233168798,2.633573844692376,2.633573844692376,2.633573844692376,4.2141199737916475,,,,,,0.5813119696638772,4.2141199737916475,0.5813119696638772,0.6459008803196515,0.6459008803196515,0.6459008803196515,2.1070599868958237,,,,,,,,,,,,,,,,
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],9.755982233566922,9.755982233566922,9.755982233566922,9.755982233566922,9.755982233566922,9.755982233566922,9.755982233566922,9.755982233566922,9.755982233566922,(undefined),(undefined),(undefined),2.016659243101358,2.016659243101358,2.016659243101358,2.016659243101358,2.016659243101358,2.016659243101358,2.016659243101358,2.016659243101358,2.016659243101358,(undefined),(undefined),(undefined),17.628526231709525,17.628526231709525,17.628526231709525,17.628526231709525,17.628526231709525,17.628526231709525,17.628526231709525,17.628526231709525,17.628526231709525,(undefined),(undefined),(undefined),0.8580149336490602,0.8580149336490602,0.8580149336490602,0.8580149336490602,0.8580149336490602,0.8580149336490602,0.8580149336490602,0.8580149336490602,0.8580149336490602,(undefined),(undefined),(undefined),0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,(undefined),(undefined),(undefined)
Delta W earth1 [lambda],21.950960025525575,21.950960025525575,21.950960025525575,21.950960025525575,21.950960025525575,21.950960025525575,21.950960025525575,21.950960025525575,21.950960025525575,,,,4.537483296978055,4.537483296978055,4.537483296978055,4.537483296978055,4.537483296978055,4.537483296978055,4.537483296978055,4.537483296978055,4.537483296978055,,,,39.66418402134643,39.66418402134643,39.66418402134643,39.66418402134643,39.66418402134643,39.66418402134643,39.66418402134643,39.66418402134643,39.66418402134643,,,,1.9305336007103855,1.9305336007103855,1.9305336007103855,1.9305336007103855,1.9305336007103855,1.9305336007103855,1.9305336007103855,1.9305336007103855,1.9305336007103855,,,,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,,,
Delta W earth2 [lambda],39.02392893426769,39.02392893426769,39.02392893426769,39.02392893426769,39.02392893426769,39.02392893426769,39.02392893426769,39.02392893426769,39.02392893426769,,,,8.066636972405432,8.066636972405432,8.066636972405432,8.066636972405432,8.066636972405432,8.066636972405432,8.066636972405432,8.066636972405432,8.066636972405432,,,,70.5141049268381,70.5141049268381,70.5141049268381,70.5141049268381,70.5141049268381,70.5141049268381,70.5141049268381,70.5141049268381,70.5141049268381,,,,3.432059734596241,3.432059734596241,3.432059734596241,3.432059734596241,3.432059734596241,3.432059734596241,3.432059734596241,3.432059734596241,3.432059734596241,,,,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,,,
Delta W earth3 [lambda],87.8038401021023,87.8038401021023,87.8038401021023,87.8038401021023,87.8038401021023,87.8038401021023,87.8038401021023,87.8038401021023,87.8038401021023,,,,18.14993318791222,18.14993318791222,18.14993318791222,18.14993318791222,18.14993318791222,18.14993318791222,18.14993318791222,18.14993318791222,18.14993318791222,,,,158.65673608538572,158.65673608538572,158.65673608538572,158.65673608538572,158.65673608538572,158.65673608538572,158.65673608538572,158.65673608538572,158.65673608538572,,,,7.722134402841542,7.722134402841542,7.722134402841542,7.722134402841542,7.722134402841542,7.722134402841542,7.722134402841542,7.722134402841542,7.722134402841542,,,,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,,,
Delta W earth4 [lambda],243.89955583917305,243.89955583917305,243.89955583917305,243.89955583917305,243.89955583917305,243.89955583917305,243.89955583917305,243.89955583917305,243.89955583917305,,,,50.416481077533945,50.416481077533945,50.416481077533945,50.416481077533945,50.416481077533945,50.416481077533945,50.416481077533945,50.416481077533945,50.416481077533945,,,,440.7131557927381,440.7131557927381,440.7131557927381,440.7131557927381,440.7131557927381,440.7131557927381,440.7131557927381,440.7131557927381,440.7131557927381,,,,21.450373341226506,21.450373341226506,21.450373341226506,21.450373341226506,21.450373341226506,21.450373341226506,21.450373341226506,21.450373341226506,21.450373341226506,,,,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,,,
Delta W earth5 [lambda],478.04312944477914,478.04312944477914,478.04312944477914,478.04312944477914,478.04312944477914,478.04312944477914,478.04312944477914,478.04312944477914,478.04312944477914,,,,98.81630291196653,98.81630291196653,98.81630291196653,98.81630291196653,98.81630291196653,98.81630291196653,98.81630291196653,98.81630291196653,98.81630291196653,,,,863.7977853537667,863.7977853537667,863.7977853537667,863.7977853537667,863.7977853537667,863.7977853537667,863.7977853537667,863.7977853537667,863.7977853537667,,,,42.04273174880395,42.04273174880395,42.04273174880395,42.04273174880395,42.04273174880395,42.04273174880395,42.04273174880395,42.04273174880395,42.04273174880395,,,,,,,,,,,,,,,
Delta W earth6 [lambda],1180.4738502615976,1180.4738502615976,1180.4738502615976,1180.4738502615976,1180.4738502615976,1180.4738502615976,1180.4738502615976,1180.4738502615976,1180.4738502615976,,,,244.01576841526432,244.01576841526432,244.01576841526432,244.01576841526432,244.01576841526432,244.01576841526432,244.01576841526432,244.01576841526432,244.01576841526432,,,,2133.0516740368525,2133.0516740368525,2133.0516740368525,2133.0516740368525,2133.0516740368525,2133.0516740368525,2133.0516740368525,2133.0516740368525,2133.0516740368525,,,,103.81980697153628,103.81980697153628,103.81980697153628,103.81980697153628,103.81980697153628,103.81980697153628,103.81980697153628,103.81980697153628,103.81980697153628,,,,,,,,,,,,,,,
Delta W earth7 [lambda],2195.0960025525574,2195.0960025525574,2195.0960025525574,2195.0960025525574,2195.0960025525574,2195.0960025525574,2195.0960025525574,2195.0960025525574,2195.0960025525574,,,,453.7483296978055,453.7483296978055,453.7483296978055,453.7483296978055,453.7483296978055,453.7483296978055,453.7483296978055,453.7483296978055,453.7483296978055,,,,3966.418402134643,3966.418402134643,3966.418402134643,3966.418402134643,3966.418402134643,3966.418402134643,3966.418402134643,3966.418402134643,3966.418402134643,,,,193.05336007103855,193.05336007103855,193.05336007103855,193.05336007103855,193.05336007103855,193.05336007103855,193.05336007103855,193.05336007103855,193.05336007103855,,,,,,,,,,,,,,,
Delta W earth8 [lambda],3160.9382436756828,3160.9382436756828,3160.9382436756828,3160.9382436756828,3160.9382436756828,3160.9382436756828,3160.9382436756828,3160.9382436756828,3160.9382436756828,,,,653.3975947648399,653.3975947648399,653.3975947648399,653.3975947648399,653.3975947648399,653.3975947648399,653.3975947648399,653.3975947648399,653.3975947648399,,,,5711.642499073886,5711.642499073886,5711.642499073886,5711.642499073886,5711.642499073886,5711.642499073886,5711.642499073886,5711.642499073886,5711.642499073886,,,,277.99683850229553,277.99683850229553,277.99683850229553,277.99683850229553,277.99683850229553,277.99683850229553,277.99683850229553,277.99683850229553,277.99683850229553,,,,,,,,,,,,,,,
Delta W earth9 [lambda],4721.89540104639,4721.89540104639,4721.89540104639,4721.89540104639,4721.89540104639,4721.89540104639,4721.89540104639,4721.89540104639,4721.89540104639,,,,976.0630736610573,976.0630736610573,976.0630736610573,976.0630736610573,976.0630736610573,976.0630736610573,976.0630736610573,976.0630736610573,976.0630736610573,,,,8532.20669614741,8532.20669614741,8532.20669614741,8532.20669614741,8532.20669614741,8532.20669614741,8532.20669614741,8532.20669614741,8532.20669614741,,,,415.2792278861451,415.2792278861451,415.2792278861451,415.2792278861451,415.2792278861451,415.2792278861451,415.2792278861451,415.2792278861451,415.2792278861451,,,,,,,,,,,,,,,
Delta W earth10 [lambda],6595.043989891239,6595.043989891239,6595.043989891239,6595.043989891239,6595.043989891239,6595.043989891239,6595.043989891239,6595.043989891239,6595.043989891239,,,,1363.261648336518,1363.261648336518,1363.261648336518,1363.261648336518,1363.261648336518,1363.261648336518,1363.261648336518,1363.261648336518,1363.261648336518,,,,11916.883732635639,11916.883732635639,11916.883732635639,11916.883732635639,11916.883732635639,11916.883732635639,11916.883732635639,11916.883732635639,11916.883732635639,,,,580.0180951467647,580.0180951467647,580.0180951467647,580.0180951467647,580.0180951467647,580.0180951467647,580.0180951467647,580.0180951467647,580.0180951467647,,,,,,,,,,,,,,,
Delta W earth11 [lambda],8780.38401021023,8780.38401021023,8780.38401021023,8780.38401021023,8780.38401021023,8780.38401021023,8780.38401021023,8780.38401021023,8780.38401021023,,,,1814.993318791222,1814.993318791222,1814.993318791222,1814.993318791222,1814.993318791222,1814.993318791222,1814.993318791222,1814.993318791222,1814.993318791222,,,,15865.673608538573,15865.673608538573,15865.673608538573,15865.673608538573,15865.673608538573,15865.673608538573,15865.673608538573,15865.673608538573,15865.673608538573,,,,772.2134402841542,772.2134402841542,772.2134402841542,772.2134402841542,772.2134402841542,772.2134402841542,772.2134402841542,772.2134402841542,772.2134402841542,,,,,,,,,,,,,,,
Delta W snapshot0 [lambda],2177.3134343765146,2177.3134343765146,3.630013764507508,2177.3134343765146,2177.3134343765146,2177.3134343765146,2177.3134343765146,2177.3134343765146,2177.3134343765146,(undefined),(undefined),(undefined),450.0724947465168,450.0724947465168,0.750360203157396,450.0724947465168,450.0724947465168,450.0724947465168,450.0724947465168,450.0724947465168,450.0724947465168,(undefined),(undefined),(undefined),3934.2862741690988,3934.2862741690988,6.559236306203373,3934.2862741690988,3934.2862741690988,3934.2862741690988,3934.2862741690988,3934.2862741690988,3934.2862741690988,(undefined),(undefined),(undefined),191.48942640568382,191.48942640568382,0.3192508908618975,191.48942640568382,191.48942640568382,191.48942640568382,191.48942640568382,191.48942640568382,191.48942640568382,(undefined),(undefined),(undefined),25.930859825769687,25.930859825769687,0.04323189147088195,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,(undefined),(undefined),(undefined)
Delta W snapshot1 [lambda],3265.9701515647716,3265.9701515647716,5.445020646761262,3265.9701515647716,3265.9701515647716,3265.9701515647716,3265.9701515647716,3265.9701515647716,3265.9701515647716,,,,675.1087421197752,675.1087421197752,1.1255403047360941,675.1087421197752,675.1087421197752,675.1087421197752,675.1087421197752,675.1087421197752,675.1087421197752,,,,5901.429411253648,5901.429411253648,9.83885445930506,5901.429411253648,5901.429411253648,5901.429411253648,5901.429411253648,5901.429411253648,5901.429411253648,,,,287.2341396085257,287.2341396085257,0.47887633629284626,287.2341396085257,287.2341396085257,287.2341396085257,287.2341396085257,287.2341396085257,287.2341396085257,,,,51.861719651539374,51.861719651539374,0.0864637829417639,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,,,
